id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	advantage	0.1334	0.6436	3	61	103	14	2015.7857
2	agent	-0.5108	-0.3016	1	73	185	20	2015.6
3	ammonium persulfate	-0.6307	-0.3482	1	61	115	11	2016.3636
4	amount	-0.8543	-0.0476	1	74	193	22	2016.5909
5	analysis	-0.5367	-0.0096	1	109	754	82	2015.4024
6	approach	0.2877	0.1187	2	94	274	38	2017.2368
7	aps	-0.3433	-0.2975	1	56	100	10	2016
8	blend	-0.7758	-0.1767	1	63	150	21	2016.5238
9	capacitance retention	1.3442	-0.375	2	51	145	14	2017.5714
10	carbon	0.777	0.078	2	75	208	25	2016.6
11	carbon nanotube	0.0828	0.4617	3	106	577	71	2015.6479
12	characterization	-0.8511	0.1197	1	97	529	57	2015.193
13	cnt	0.2094	0.5562	3	88	266	34	2016.1471
14	cnts	0.0587	0.567	3	72	168	19	2016.9474
15	composite film	0.3859	0.6401	3	74	171	20	2017.05
16	crystallinity	-0.8568	-0.3255	1	66	157	15	2015.7333
17	current density	1.0855	-0.2239	2	79	313	30	2016.8
18	cycle	1.1393	-0.2137	2	86	488	57	2017.0877
19	cyclic voltammetry	0.5254	-0.6581	2	74	274	26	2017.1538
20	dbsa	-1.0606	-0.0565	1	49	122	17	2015.7059
21	detection	0.2486	-0.3759	2	56	134	17	2017.1765
22	development	0.5263	0.0296	2	77	180	27	2016.9259
23	diameter	-0.9299	-0.0529	1	74	190	23	2015
24	dsc	-1.2158	-0.0555	1	53	124	12	2016.6667
25	efficiency	0.5497	-0.1554	2	67	167	26	2016.2692
26	electrical conductivity measurement	-0.554	-0.6295	1	72	191	19	2015.2105
27	electrical property	-0.7751	-0.0423	1	84	301	37	2015.1081
28	electrochemical impedance spectroscopy	0.5167	-0.7204	2	65	199	17	2016.7647
29	electrochemical performance	1.0657	-0.2797	2	80	326	34	2016.6765
30	electrochemical property	0.8591	-0.5238	2	77	255	25	2016
31	electrode	1.0423	-0.1745	2	93	621	71	2016.2676
32	electrode material	1.155	-0.1588	2	80	364	31	2016.5484
33	electrolyte	1.2904	-0.4503	2	61	208	20	2016.5
34	electron microscopy	-0.5566	-0.381	1	102	719	67	2015.4925
35	excellent electrical conductivity	0.4987	0.2256	2	61	92	13	2016.8462
36	existence	-0.34	0.5217	3	59	110	11	2017
37	f g	1.2602	-0.2845	2	70	261	24	2016.25
